?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
213,AF40,213,0000,000,0000,000,0000,0000,004,0100
213,AF40,214,AF40,213,0040,000,0040,0040,000,0000
214,0680,215,0680,214,0680,000,0214,4000,000,0000
215,0500,216,0500,215,4000,000,0215,8000,00A,1010
216,EEFB,217,EEFB,212,8000,000,FFFB,8000,00A,1010,212,8000
217,AF05,218,AF05,217,0005,000,0005,0005,000,0000
218,EEF8,219,EEF8,211,0005,000,FFF8,0005,000,0000,211,0005
219,AEF5,21A,AEF5,20F,0223,000,FFF5,0223,000,0000
21A,EEF5,21B,EEF5,210,0223,000,FFF5,0223,000,0000,210,0223
21B,AAF4,21C,AAF4,223,02A8,000,FFF4,02A8,000,0000,210,0224
21C,F303,220,F303,21C,F303,000,0003,02A8,000,0000
220,8211,221,8211,211,0004,000,0003,02A8,000,0000,211,0004
221,CEF9,21B,CEF9,221,021B,000,FFF9,02A8,000,0000
21B,AAF4,21C,AAF4,224,0C00,000,FFF4,0C00,000,0000,210,0225
21C,F303,220,F303,21C,F303,000,0003,0C00,000,0000
220,8211,221,8211,211,0003,000,0002,0C00,000,0000,211,0003
221,CEF9,21B,CEF9,221,021B,000,FFF9,0C00,000,0000
21B,AAF4,21C,AAF4,225,0706,000,FFF4,0706,000,0000,210,0226
21C,F303,220,F303,21C,F303,000,0003,0706,000,0000
220,8211,221,8211,211,0002,000,0001,0706,000,0000,211,0002
221,CEF9,21B,CEF9,221,021B,000,FFF9,0706,000,0000
21B,AAF4,21C,AAF4,226,1000,000,FFF4,1000,000,0000,210,0227
21C,F303,220,F303,21C,F303,000,0003,1000,000,0000
220,8211,221,8211,211,0001,000,0000,1000,000,0000,211,0001
221,CEF9,21B,CEF9,221,021B,000,FFF9,1000,000,0000
21B,AAF4,21C,AAF4,227,0315,000,FFF4,0315,000,0000,210,0228
21C,F303,220,F303,21C,F303,000,0003,0315,000,0000
220,8211,222,8211,211,0000,000,FFFF,0315,000,0000,211,0000
222,0100,223,0100,222,0100,000,0222,0315,000,0000
