Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
039,0200,039,0000,000,0000,000,0000,0000,004,0100
039,0200,03A,0200,039,0200,000,0039,0000,004,0100
03A,EE19,03B,EE19,054,0000,000,0019,0000,004,0100,054,0000
03B,AE15,03C,AE15,051,0F7B,000,0015,0F7B,000,0000
03C,0700,03D,0700,03C,0700,000,003C,0F7C,000,0000
03D,0C00,03E,0C00,7FF,0F7C,7FF,003D,0F7C,000,0000,7FF,0F7C
03E,D74A,74A,D74A,7FE,003F,7FE,D74A,0F7C,000,0000,7FE,003F
74A,AC01,74B,AC01,7FF,0F7C,7FE,0001,0F7C,000,0000
74B,F207,74C,F207,74B,F207,7FE,074B,0F7C,000,0000
74C,7E09,74D,7E09,756,0F7B,7FE,0009,0F7C,001,0001
74D,F905,753,F905,74D,F905,7FE,0005,0F7C,001,0001
753,AE02,754,AE02,756,0F7B,7FE,0002,0F7B,001,0001
754,EC01,755,EC01,7FF,0F7B,7FE,0001,0F7B,001,0001,7FF,0F7B
755,0A00,03F,0A00,7FE,003F,7FF,0755,0F7B,001,0001
03F,0800,040,0800,7FF,0F7B,000,003F,0F7B,001,0001
040,0700,041,0700,040,0700,000,0040,0F7C,000,0000
041,4E12,042,4E12,054,0000,000,0012,0F7C,000,0000
042,EE11,043,EE11,054,0F7C,000,0011,0F7C,000,0000,054,0F7C
043,AE0E,044,AE0E,052,03CA,000,000E,03CA,000,0000
044,0C00,045,0C00,7FF,03CA,7FF,0044,03CA,000,0000,7FF,03CA
045,D74A,74A,D74A,7FE,0046,7FE,D74A,03CA,000,0000,7FE,0046
74A,AC01,74B,AC01,7FF,03CA,7FE,0001,03CA,000,0000
74B,F207,74C,F207,74B,F207,7FE,074B,03CA,000,0000
74C,7E09,74D,7E09,756,0F7B,7FE,0009,03CA,008,1000
74D,F905,74E,F905,74D,F905,7FE,074D,03CA,008,1000
74E,0500,74F,0500,74E,03CA,7FE,074E,0794,000,0000
74F,0500,750,0500,74F,0794,7FE,074F,0F28,000,0000
750,4C01,751,4C01,7FF,03CA,7FE,0001,12F2,000,0000
751,4E05,752,4E05,757,00A2,7FE,0005,1394,000,0000
752,CE01,754,CE01,752,0754,7FE,0001,1394,000,0000
754,EC01,755,EC01,7FF,1394,7FE,0001,1394,000,0000,7FF,1394
755,0A00,046,0A00,7FE,0046,7FF,0755,1394,000,0000
046,0800,047,0800,7FF,1394,000,0046,1394,000,0000
047,0740,048,0740,047,0740,000,0047,1393,001,0001
048,6E0B,049,6E0B,054,0F7C,000,000B,0417,001,0001
049,EE0A,04A,EE0A,054,0417,000,000A,0417,001,0001,054,0417
04A,AE08,04B,AE08,053,FFF7,000,0008,FFF7,009,1001
04B,0C00,04C,0C00,7FF,FFF7,7FF,004B,FFF7,009,1001,7FF,FFF7
04C,D74A,74A,D74A,7FE,004D,7FE,D74A,FFF7,009,1001,7FE,004D
74A,AC01,74B,AC01,7FF,FFF7,7FE,0001,FFF7,009,1001
74B,F207,753,F207,74B,F207,7FE,0007,FFF7,009,1001
753,AE02,754,AE02,756,0F7B,7FE,0002,0F7B,001,0001
754,EC01,755,EC01,7FF,0F7B,7FE,0001,0F7B,001,0001,7FF,0F7B
755,0A00,04D,0A00,7FE,004D,7FF,0755,0F7B,001,0001
04D,0800,04E,0800,7FF,0F7B,000,004D,0F7B,001,0001
04E,4E05,04F,4E05,054,0417,000,0005,1392,000,0000
04F,EE04,050,EE04,054,1392,000,0004,1392,000,0000,054,1392
050,0100,051,0100,050,0100,000,0050,1392,000,0000
